time,value,error
54237.128,2.95215635825E-14,6.34073139064E-16
54245.406,3.48449106931E-14,6.34073139064E-16
54279.073,3.38952901394E-14,6.34073139064E-16
54281.314,3.38952901394E-14,6.34073139064E-16
54283.751,3.58211360992E-14,6.34073139064E-16
54404.766,3.75093342331E-14,6.34073139064E-16
54439.194,4.18927968537E-14,6.34073139064E-16
54446.536,4.18927968537E-14,6.34073139064E-16
54453.89,3.78564038296E-14,6.34073139064E-16
54460.586,3.71654465898E-14,6.34073139064E-16
54467.404,3.82066848215E-14,6.34073139064E-16
54474.935,3.78564038296E-14,6.34073139064E-16
54618.619,3.35845362516E-14,6.34073139064E-16
54625.095,3.61525849907E-14,6.34073139064E-16
54632.074,3.48449106931E-14,6.34073139064E-16
54639.484,3.6487100741E-14,6.34073139064E-16
54646.645,3.42089193976E-14,6.34073139064E-16
54653.03,3.75093342331E-14,6.34073139064E-16
54660.909,3.71654465898E-14,6.34073139064E-16
54667.165,3.54927259495E-14,6.34073139064E-16
54674.39,3.58211360992E-14,6.34073139064E-16
54681.542,3.96405211765E-14,6.34073139064E-16
54688.615,3.78564038296E-14,6.34073139064E-16
54696.012,3.38952901394E-14,6.34073139064E-16
54702.394,3.38952901394E-14,6.34073139064E-16
54709.855,2.64325678557E-14,6.34073139064E-16
54716.517,2.8192874349E-14,6.34073139064E-16
54723.859,3.14875852097E-14,6.34073139064E-16
54730.754,3.14875852097E-14,6.34073139064E-16
54737.63,2.87170190164E-14,6.34073139064E-16
54744.325,2.97947232471E-14,6.34073139064E-16
54751.258,2.97947232471E-14,6.34073139064E-16
54758.729,3.06294610962E-14,6.34073139064E-16
54765.798,3.29715493823E-14,6.34073139064E-16
54775.726,3.48449106931E-14,6.34073139064E-16
54779.066,3.29715493823E-14,6.34073139064E-16
54786.163,3.48449106931E-14,6.34073139064E-16
54796.161,3.38952901394E-14,6.34073139064E-16
54800.114,3.58211360992E-14,6.34073139064E-16
54809.591,3.54927259495E-14,6.34073139064E-16
54816.246,3.20729831252E-14,6.34073139064E-16
54824.298,3.58211360992E-14,6.34073139064E-16
54829.06,3.38952901394E-14,6.34073139064E-16
54836.927,3.38952901394E-14,6.34073139064E-16
54842.286,3.78564038296E-14,6.34073139064E-16
54849.845,3.92770946939E-14,6.34073139064E-16
54856.673,3.58211360992E-14,6.34073139064E-16
54864.033,3.35845362516E-14,6.34073139064E-16
54981.852,2.8192874349E-14,6.34073139064E-16
54985.051,2.7173110557E-14,6.34073139064E-16
54989.008,2.79344005233E-14,6.34073139064E-16
54994.235,2.7173110557E-14,6.34073139064E-16
54996.945,2.87170190164E-14,6.34073139064E-16
55001.083,3.20729831252E-14,6.34073139064E-16
55009.26,2.76782964E-14,6.34073139064E-16
55017.924,2.92509082607E-14,6.34073139064E-16
55024.218,2.95215635825E-14,6.34073139064E-16
55033.055,2.95215635825E-14,6.34073139064E-16
55041.086,3.09128720103E-14,6.34073139064E-16
55049.548,2.8192874349E-14,6.34073139064E-16
55057.109,2.95215635825E-14,6.34073139064E-16
55065.944,3.38952901394E-14,6.34073139064E-16
55073.11,3.14875852097E-14,6.34073139064E-16
55082.709,3.54927259495E-14,6.34073139064E-16
55089.16,3.85602069235E-14,6.34073139064E-16
55097.891,3.78564038296E-14,6.34073139064E-16
55106.091,3.35845362516E-14,6.34073139064E-16
55113.803,3.09128720103E-14,6.34073139064E-16
55121.218,2.87170190164E-14,6.34073139064E-16
55129.998,3.20729831252E-14,6.34073139064E-16
55137.146,3.26692644005E-14,6.34073139064E-16
55145.051,3.38952901394E-14,6.34073139064E-16
